title,description,publishedAt,videoId
Mr. Vain,"Provided to YouTube by Zebralution GmbH

Mr. Vain · Culture Beat

Serenity

℗ 2012 Abfahrt Media GmbH

Released on: 1993-01-01

Music  Publisher: Neue Welt Musikverlag / Edition Abfahrt Publishing, Frank Fenslau Musikverlag / Get Into Magic Musikverlag
Lyricist: Nosie Katzmann, Jay Supreme
Composer: Steven Lewis, Peter Zweier, Torsten Fenslau

Auto-generated by YouTube.",2024-09-28T02:19:06Z,V3qUoiwr5kQ
Strangerous,"Remix of sounds and voices from Stranger Things.
Spotify: https://open.spotify.com/artist/1ng3xz2dyz57Z1WpnzM2G7
Bandcamp: https://pogomix.bandcamp.com/
SoundCloud: https://soundcloud.com/pogomix
Twitter: https://twitter.com/OfficialPogo",2024-09-27T01:34:39Z,cRzcsXDBn8g
Phil Collins - In The Air Tonight (Official Music Video),"""In The Air Tonight"" was the first single from Phil Collins' debut solo album ""Face Value"" in 1981.

Stream: https://PhilCollins.lnk.to/Stream 

🔔 Subscribe to Phil Collins' YouTube channel!: https://philcollins.lnk.to/yts 

Watch Phil's Official Music Videos: https://www.youtube.com/playlist?list=PLEF9AC9E0A3ABFD37

Stay up-to-date with Phil Collins:
Official website: https://philcollins.com/
Like on Facebook: https://www.facebook.com/PhilCollins
Follow on Instagram: https://www.instagram.com/officialphilcollins/
Follow on Twitter/X: https://www.twitter.com/PhilCollinsFeed

Lyrics
I can feel it coming in the air tonight, oh Lord
And I've been waiting for this moment for all my life, Oh Lord
Can you feel it coming in the air tonight, oh Lord, oh Lord

Well, if you told me you were drowning
I would not lend a hand
I've seen your face before my friend
But I don't know if you know who I am
Well, I was there and I saw what you did
I saw it with my own two eyes
So you can wipe off that grin,
I know where you've been
It's all been a pack of lies

And I can feel it coming in the air tonight, oh Lord
Well, I've been waiting for this moment for all my life, oh Lord
I can feel it coming in the air tonight, oh Lord
And I've been waiting for this moment for all my life, oh Lord, oh Lord

Well I remember, I remember don't worry
How could I ever forget,
It's the first time, the last time we ever met
But I know the reason why you keep your silence up,
No you don't fool me
The hurt doesn't show
But the pain still grows
It's no stranger to you and me

And I can feel it coming in the air tonight, oh Lord
Well, I've been waiting for this moment for all my life, oh Lord
I can feel it in the air tonight, oh Lord, oh Lord
But I've been waiting for this moment for all my life, oh Lord
I can feel it coming in the air tonight, oh Lord
But I've been waiting for this moment for all my life, oh Lord
I can feel it in the air tonight, oh Lord, oh Lord, oh Lord
But I've been waiting for this moment for all my life, oh Lord, oh Lord

----------------------

This is the official YouTube channel for the solo work of English singer-songwriter, drummer, and producer, Mr. Phil Collins. As a solo artist, he has sold more than 100 million records, won 7 Grammys, 6 Brit awards, and an Oscar.",2024-09-27T01:32:09Z,YkADj0TPrJA
My Sweet Lord (2014 Remaster),"Provided to YouTube by BMG Rights Management (US) LLC

My Sweet Lord (2014 Remaster) · George Harrison

All Things Must Pass

℗ 2014 G.H. Estate Limited under exclusive license to BMG Rights Management (US) LLC

Released on: 1970-11-20

Producer: George Harrison
Producer: Phil Spector
Sound  Engineer: Ken Scott
Sound  Engineer: Phillip McDonald
Composer: George Harrison

Auto-generated by YouTube.",2024-09-14T00:54:28Z,6wHBsMoHFWs
Among Friends,"Provided to YouTube by Epidemic Sound

Among Friends · Lindsey Abraham

Among Friends

℗ Epidemic Sound

Released on: 2014-11-14

Composer: Lindsey Abraham
Music  Publisher: Lindsey Abraham

Auto-generated by YouTube.",2024-09-06T22:35:28Z,VkccDM3ZrdU
Rob U. Blynd - I Am The Motherf*cker [1942] N!CØ,"Rob U. Blynd - I Am The Motherf*cker [1942] N!CØ

Dive into the rebellious spirit of 1942 with Rob U.Blynd's debut single ""I Am The Motherf*cker,"" proudly presented by Watershed Records. Experience the raw energy and defiant attitude that defined a generation during wartime. 

This channel started because I wanted somewhere to post songs for The P.I.T Universe (created by Hugh Ehhoule) so you essentially have Hugh to thank for this song to.. Check his work out at the links below, or subscribe to my Narration Channel to hear me read his stories.

Hugh Ehhoule ► https://bit.ly/48SdV1F
Hugh's Stories ► https://bit.ly/49NvKAc
P.I.T Universe Sub ► https://bit.ly/43bVjse

Subscribe to Nico Wonderdust ► http://bit.ly/2hdKC0r
The P.I.T Universe Wiki ► https://bit.ly/49NvKAc
All My Links ► linktr.ee/NicoWonderdust

#swing 
#NicoWonderdust
#oldies 
#obscurestvinyl
#vinylnightmares
#obscurevinyl
#badalbumcovers
#worstalbumcovers
#reallybadalbumcovers
#aimusic
#aimusiccover
#badrecordart
#comedysong
#funnysong
#comedyvideo
#albumcovers
#sonoaimusic
#badrecordcovers
#vinylcommunity
#badalbumart
#albumart
#albumcover
#udioai
#udioaimusic",2024-09-04T01:32:12Z,gK-aGl5s3J8
The Way It Is,"by Bruce Hornsby and the Range from their 1986 album The Way It Is

This video is from Bruce's Intersections box set.",2024-08-24T01:20:44Z,GlRQjzltaMQ
Whiter Shade of Pale - Procol Harum | The Midnight Special,"November 30, 1973

Join this channel to get access to perks:
https://www.youtube.com/channel/UCNF4M2QUP0lpSc32MOP2DZw/join

Follow us on Social Media:
https://www.facebook.com/TheMidnightSpecialTVShow/
https://www.instagram.com/themidnightspecialtvshow/
https://www.tiktok.com/@themidnightspecialtvshow
https://twitter.com/tmstvshow

Visit The Midnight Special Store:
https://themidnightspecial.myshopify.com/",2024-08-06T00:49:44Z,xM_N2O-gzP4
"Procol Harum - A Whiter Shade of Pale, live in Denmark 2006","Procol Harum performing A Whiter Shade of Pale with the Danish National Concert Orchestra and choir at Ledreborg Castle, Denmark in August 2006",2024-08-06T00:41:49Z,St6jyEFe5WM
PROCOL HARUM - A Whiter Shade Of Pale - promo film #1 (Official Video),"Watch ""A Whiter Shade of Pale"" official lyric video - https://youtu.be/aBNIRyz_UBU

Footage from 1967 of the first Procol Harum line-up.  This promotional film was restored and upgraded by Henry Scott-Irvine in 2008.  included in the 2015 remastered & expanded 'Procol Harum' album via Esoteric Recordings/Cherry Red Records http://shop.cherryred.co.uk/shopexd.asp?id=5072

Henry Scott-Irvine is the writer of the band's biography 'The Ghosts Of A Whiter Shade of Pale'.
http://www.abebooks.co.uk/book-search/title/procol-harum-ghosts-of-a-whiter-shade-of-pale/author/henry-scott-irvine/

https://www.facebook.com/flyrecords1970",2024-08-06T00:37:35Z,z0vCwGUZe1I
"HANSON - MMMBop | Live ""25 Years Later""","#Hanson performs their huge #90s song #MMMBop Live more than 25 Years Later in their hometown of Tulsa at the Hard Rock in Tulsa, Oklahoma.",2024-08-03T12:44:28Z,mhf3kHeKwMw
Semisonic - 'Closing Time' | The Bridge 909 Out of Studio,"Minneapolis, Minnesota band Semisonic performs ‘Closing Time’ remotely.

90.9 FM The Bridge | bridge909.org | kcpt.org | eightonesixty.com

@909TheBridge | @KCPT

Live in studios and interviews from local and national music artists: The Bridge, 90.9 FM KTBG, listener supported public music radio in Kansas City, Missouri.",2024-07-30T01:57:55Z,z6-U6IZPaiY
